,OH_nh,OH_sh
2019,0.931052793,0.983772452
2020,0.920650489,0.979142384
2021,0.914930976,0.973963259
2022,0.911705478,0.971819293
2023,0.910246531,0.968996907
2024,0.905414623,0.96737343
