Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
QCL,Crops and livestock products,5,South America,5111,Stocks,2111,Cattle,2019,2019,An,361363323,A,Official figure,
QCL,Crops and livestock products,5,South America,5111,Stocks,2111,Cattle,2020,2020,An,364940048,A,Official figure,
QCL,Crops and livestock products,5,South America,5111,Stocks,2111,Cattle,2021,2021,An,372896116,A,Official figure,
QCL,Crops and livestock products,5,South America,5111,Stocks,2111,Cattle,2022,2022,An,382671046,A,Official figure,
QCL,Crops and livestock products,5,South America,5111,Stocks,2111,Cattle,2023,2023,An,387788987,E,Estimated value,
